11,Don Quixote,812-03-10858-26-8,Owen Truscott
12,Gone With the Wind,848-78-44227-58-8,Daniel Andersson
13,David Copperfield,627-57-44170-06-1,Owen Griffiths
14,Nineteen Eighty Four,862-30-67613-48-5,Tyler Warden
15,The Magic Mountain,774-80-84503-34-1,Alexia Stubbs
16,Paradise Lost,874-36-50760-82-1,Kieth Redfern
17,Tess of the d'Urbervilles,661-37-66682-31-8,Elijah Lloyd
18,The Grapes of Wrath,083-81-24038-43-7,Chelsea Ross
19,Emma,310-21-06563-65-7,Hayden Hogg
20,Moby Dick,833-85-46247-23-1,Rosa Kelly
